,cluster
92425,0
47970,2
189996,5
141724,0
56077,5
116509,1
190077,5
730,3
298395,8
112901,2
12640,1
272092,4
31019,5
276666,4
236816,7
204467,5
91277,4
298001,6
63377,1
25327,7
107284,7
179003,7
106345,2
121099,8
130342,5
74486,7
107401,7
126189,0
9515,6
234084,6
63085,8
243032,5
94727,3
17376,4
24510,2
212723,8
82096,4
41360,4
94686,3
132460,7
116874,1
54175,8
3065,1
280605,8
174443,7
281146,1
232874,7
230947,1
208687,5
151316,4
97510,5
255668,6
260502,4
126979,6
289187,2
126770,6
51983,6
3673,5
40727,4
247125,7
57206,2
292535,4
94519,3
14079,5
45273,1
205747,4
33267,4
292705,4
156330,7
39823,7
150677,2
209956,7
233240,4
216559,8
37075,1
88731,2
242038,8
39004,2
291389,1
283736,1
39786,7
46173,1
253249,8
291657,5
17383,4
10079,3
80100,5
42259,0
60377,0
204655,2
265512,5
137437,1
174718,4
29814,8
44203,8
246959,2
127794,3
273241,1
32275,2
155392,2
169016,4
10045,3
12678,1
286942,4
45728,1
30752,1
216337,8
7221,4
210973,0
59479,4
67719,4
266816,0
163160,7
49106,7
109529,6
70240,6
113631,7
34263,0
13870,5
64047,1
23201,5
34655,6
35817,3
157731,0
201691,0
207688,8
44137,8
282553,0
262381,5
292841,0
184775,7
267145,6
250381,5
205670,4
183861,2
114224,4
225644,8
90657,7
297257,7
120441,3
46127,1
212385,3
11044,3
168930,7
284261,2
118551,4
174042,7
209567,2
39046,2
206147,0
143081,3
194494,8
6306,7
77744,3
32636,7
89833,7
93749,6
90469,7
183156,5
249505,8
15620,2
158790,3
158517,6
16847,7
228531,4
190169,5
275273,8
109872,3
173631,2
294180,1
186967,6
52435,6
224289,4
238423,8
133173,4
112074,5
199725,5
1744,8
182070,1
85512,8
203458,8
168740,7
49118,7
140571,4
154389,5
169904,0
158315,6
221526,0
264225,3
65187,5
153754,1
189459,1
204287,5
38621,5
159013,3
254487,2
242843,5
279645,4
50505,4
202076,0
280599,8
149790,5
232480,7
49269,7
103677,8
227191,5
128463,8
66254,2
80797,2
160692,1
222668,1
45340,1
174983,4
275462,1
224017,4
92387,0
136462,8
126912,6
244502,0
195684,2
74399,7
104517,1
97117,5
259172,3
169450,4
44345,8
190064,5
192882,0
85175,8
247371,7
284430,7
188908,1
197582,6
31738,2
260376,7
259776,5
25744,7
162667,7
212309,3
285512,3
113213,7
26657,4
79354,1
36099,8
43691,3
184000,2
148582,8
292371,7
64578,5
208061,1
29451,3
153422,8
138152,5
262624,2
58738,7
21941,8
298683,1
257356,5
284083,2
91565,4
300033,6
143904,1
284223,2
170834,3
168765,7
171238,3
76149,0
119626,6
271989,4
287083,4
91346,4
275132,8
163682,4
156328,7
192967,0
92803,0
52853,3
236339,2
39651,2
276400,7
278192,1
271361,2
39284,2
172486,1
108076,4
283297,8
126653,0
11359,8
221636,6
31316,5
221710,6
194640,1
9259,6
231214,1
299169,2
128362,8
217419,2
214136,2
13398,5
144722,5
133759,4
43302,3
208921,5
69567,6
8752,0
291656,5
284280,2
96306,1
223501,2
286115,5
254102,5
99882,7
12905,1
164142,0
163474,4
230034,3
191173,2
154854,5
208798,5
79659,5
84874,3
147779,6
12751,1
188435,8
287882,3
239355,5
166235,8
168715,7
10373,3
262580,5
234336,3
193140,0
180314,6
281148,1
259387,1
7984,0
277464,3
43932,3
259109,3
218603,0
191917,4
13847,5
233182,4
11533,8
290704,8
267856,8
109621,6
194638,1
245681,1
272619,3
22877,1
104962,1
123186,5
211166,0
59661,4
83257,0
275924,5
16624,7
165044,6
26490,4
231594,5
290005,0
283639,1
254100,5
182556,1
127454,6
258165,4
128315,8
32401,2
230272,3
176667,3
184083,2
80864,2
64256,1
230647,8
49964,4
49924,4
291925,2
87760,5
45223,1
38154,5
148950,8
259149,3
151337,4
131724,2
16884,4
296597,1
167937,2
200283,2
60209,0
209653,2
196046,7
106650,2
26320,4
29031,3
169025,4
71600,8
216891,1
122342,5
124958,7
180689,3
133899,0
232134,2
138794,2
25174,7
41146,4
197769,6
39687,7
85244,8
95931,1
244057,4
188527,8
224843,6
233808,6
107301,7
237594,0
265387,5
182834,5
117332,5
192186,4
61276,6
290803,8
101554,0
212643,8
76923,6
33015,7
88864,2
103338,3
164383,0
201555,4
83128,0
155366,2
273050,8
18967,0
112112,5
187519,6
181135,8
115500,6
273561,5
262227,1
17706,4
15845,7
28921,3
34476,0
52180,6
13753,5
73017,5
163934,4
58446,7
258649,0
39625,2
49604,7
178547,2
142541,3
271567,2
30664,1
98012,5
199861,5
118588,4
2904,1
215316,0
116083,8
20818,3
208796,5
49947,4
96131,1
108480,0
102046,6
157114,4
46326,5
281065,1
76024,0
93986,6
285194,6
244049,4
78864,1
252811,6
293478,3
5506,2
224918,6
294982,7
62872,8
48021,2
29724,8
131571,2
272084,4
131945,2
8946,0
245261,3
228213,7
287648,3
17273,4
147529,6
189695,5
59561,4
270901,1
4087,5
212768,8
7685,4
4480,5
258559,0
171517,8
212114,3
224651,6
125156,4
271555,2
82461,4
163526,4
108348,0
8122,0
216629,1
37955,5
217023,5
282958,6
82810,0
144202,1
52571,6
93058,6
169415,4
196159,7
10481,3
273145,1
194727,1
77282,6
241319,6
256647,1
29005,3
13194,1
64011,1
115444,6
156696,4
177642,1
53896,8
113039,7
63434,1
41020,4
42857,6
239924,2
27954,6
151206,4
164082,4
298158,3
122890,5
87204,1
83061,0
89305,2
245409,8
150293,2
197588,6
236290,2
299750,0
36835,1
23530,5
2633,1
226561,1
258583,0
280820,8
161735,5
156822,4
299079,2
143229,8
23053,1
42097,0
165532,6
124978,7
178091,5
7355,4
119793,3
8807,0
85571,8
199187,1
6484,7
6442,7
62215,3
283700,1
287061,4
172753,5
262039,1
234252,3
166421,8
86892,1
173634,2
275151,8
135893,3
14771,2
27038,0
230308,3
16198,7
97576,5
203168,8
288499,1
263600,0
163629,4
147104,0
25799,7
232239,2
234541,3
38623,5
123165,5
155569,2
79991,5
192050,4
70860,3
1045,3
43060,3
242205,8
191445,7
263477,0
31255,5
250131,5
246895,2
25048,2
110297,3
128093,3
25549,7
9807,6
185777,4
128271,3
275346,1
50632,4
139620,7
83533,6
73618,2
283682,1
252126,0
93129,6
237070,4
140591,4
243132,2
243277,2
295387,4
220330,5
13508,5
109625,6
177296,1
110579,8
74249,2
184532,7
155752,2
25083,2
221812,6
121773,1
99870,7
141212,0
51430,0
149069,1
112348,5
212157,3
45673,1
124533,7
140575,4
254782,7
153736,1
64783,5
18386,0
223899,7
229022,0
87379,1
153175,8
177541,1
41175,4
204505,5
79277,1
93368,6
52162,6
94250,3
4911,2
93130,6
41199,4
55316,1
142902,3
51340,0
141412,0
169408,4
110476,8
280957,1
298853,5
42458,6
240390,7
223113,5
120877,8
229265,0
146364,4
140433,4
116674,1
154979,5
92015,0
73047,5
57045,2
180392,6
4848,2
232210,2
112300,5
106183,2
213283,1
128388,8
174317,7
282254,4
173475,2
272145,0
162250,2
243863,4
119545,6
299599,4
210832,4
156856,4
65709,2
99474,7
215063,4
228103,7
120957,8
135028,6
80323,5
92605,0
125260,4
289362,7
100429,4
49821,4
34570,0
141111,0
34020,0
6000,7
129640,1
177022,8
130741,5
127294,6
298594,1
53208,3
129578,1
47607,2
242738,5
123137,5
32693,7
197750,6
36950,1
25554,7
2113,1
199454,1
152692,3
70914,3
119016,0
83864,6
262217,1
254060,5
274536,0
41994,0
120152,3
155331,2
94012,6
287673,3
63338,8
137598,1
111690,5
174381,7
70598,3
7603,4
138322,5
228010,7
166379,8
167579,5
279335,7
47902,2
186957,6
132164,7
89980,7
249763,1
18054,0
211694,6
78682,8
34794,6
235256,1
149125,1
260842,0
294009,1
270725,8
64175,1
119202,0
11287,8
125689,4
167344,5
78981,1
71802,1
169569,0
77586,3
96380,1
203395,8
232287,2
256791,1
111717,5
220399,5
62444,3
92327,0
270999,1
99533,7
158339,6
146582,4
159590,8
517,3
226620,1
160678,1
90036,7
217233,5
11530,8
23993,5
180725,3
235906,5
14542,5
95052,8
123305,2
185902,4
95813,8
82769,0
236299,2
33523,4
69856,6
281932,7
232458,7
246821,2
284375,7
176735,3
211828,6
149600,5
123916,2
27013,0
75005,7
292933,0
276278,7
38203,5
47480,5
52538,6
202305,6
56081,5
11213,8
190400,5
217004,5
204204,5
58417,7
79107,1
149574,5
75782,4
108591,0
173910,2
127681,3
134763,6
262738,2
234147,6
291310,1
209846,7
40652,4
110764,8
13387,5
197319,0
113367,7
178395,2
148368,3
277542,3
30878,1
31741,2
219231,3
192083,4
106984,7
246245,5
48780,7
241869,3
279561,4
239921,2
152816,3
151077,7
112575,2
132453,7
23231,5
90430,7
201172,4
69485,6
87706,5
94894,3
179089,7
110032,3
163343,4
49573,7
293417,3
94390,3
4373,5
134241,0
10915,3
20746,3
159626,8
256102,3
9657,6
220670,2
10320,3
119265,6
61463,6
171696,8
69909,6
205822,0
215663,6
228320,7
255319,4
87716,5
128527,8
32758,7
36611,8
227183,5
189774,5
81300,7
80862,2
269725,0
235763,5
33998,0
49702,4
215345,0
252828,6
251781,4
283517,1
213681,5
130578,5
50888,0
121807,1
236215,2
223296,5
43672,3
159323,8
168755,7
62895,8
209268,2
26913,4
186885,6
170729,6
158436,6
261856,8
92254,0
114232,4
232503,7
19562,6
269802,0
196041,2
170503,6
259908,5
241497,3
56671,5
59438,4
130354,5
157658,0
164708,0
254714,7
167716,5
58737,7
265602,2
58975,4
232955,4
143750,1
40346,7
193643,6
51723,0
18400,0
295097,7
184898,7
82252,4
192053,4
272036,4
53501,3
206041,0
217668,2
172617,5
59955,0
5518,2
207530,8
254343,2
206015,0
86272,1
58992,4
280170,6
250061,1
20974,3
264240,3
149358,1
51787,6
280597,8
103554,8
271256,5
10571,3
88580,5
241904,8
227638,2
100536,4
142646,3
154025,1
76828,6
104780,1
163985,4
270955,1
2045,8
122708,5
66427,2
225044,3
105590,5
51917,6
122873,5
250092,1
177915,5
261719,8
78557,8
168213,2
194250,8
24831,2
149320,1
164285,0
279508,4
264476,8
265345,5
168910,7
107365,7
212134,3
94055,3
160903,5
258015,7
87195,1
142,3
28013,6
277397,3
156897,4
284543,7
96414,1
44719,8
197026,0
254048,5
148611,8
67816,4
216318,8
204884,2
115860,3
201726,0
225786,8
88642,5
169925,0
219867,1
95499,8
184063,2
181267,8
186439,0
66767,7
79302,1
23808,5
1836,8
28113,6
98055,5
205109,7
25953,7
298813,5
80007,5
228370,7
158141,6
202219,6
174462,7
285577,3
182515,1
232881,4
53470,3
65852,2
287802,3
4784,2
290915,8
83625,6
195578,5
80364,5
13896,5
260491,4
118958,0
119145,0
127462,6
234567,3
294597,5
206339,6
84261,3
196394,7
67277,7
10692,3
188107,3
103660,8
181817,1
55452,1
198905,1
166918,1
272081,4
274937,3
192843,0
162224,2
182148,1
217309,5
192179,4
235740,5
252953,3
37866,5
192093,4
234829,8
202181,6
151621,4
31948,2
194239,8
97034,5
152851,3
260685,4
126481,0
269299,7
103784,8
249715,1
262422,5
25319,7
175693,0
285451,3
86883,1
14569,5
250697,2
289146,2
207907,1
63919,1
279345,7
246031,1
35767,3
293593,3
45358,1
283318,8
3019,1
148958,8
114326,0
230743,8
142201,6
229777,6
10971,3
103571,8
40265,7
83863,6
250672,2
280933,1
21032,3
181230,8
83449,6
266075,7
219272,3
249060,3
165727,3
165547,6
180479,6
111739,5
192329,4
70882,3
282655,0
293632,3
260786,0
271955,4
91907,4
99688,7
211969,6
20550,3
204643,2
120642,8
296468,1
23208,5
48894,7
94255,3
247000,2
275387,1
77421,3
272578,6
22821,1
197812,3
250997,2
176919,8
143919,1
15562,2
6581,7
225712,8
136241,3
37317,1
250718,2
20799,3
192447,4
154851,5
40901,4
31202,5
90836,7
202093,0
52402,6
289673,4
206135,0
78118,8
32537,7
231866,5
297147,2
147739,6
231430,1
101900,6
119191,0
223295,5
278368,5
207982,1
257622,2
148804,8
298773,5
234899,8
23642,5
59608,4
158375,6
32365,2
34324,0
250003,1
115953,3
286328,5
19648,6
21342,8
150602,2
23281,5
139668,7
232054,2
167083,1
190273,5
21486,8
180377,6
103435,3
252439,6
5445,2
215004,4
204700,2
109354,6
188839,1
135431,6
134468,0
82498,4
74509,7
149668,5
152741,3
292561,4
296521,1
248041,0
220052,1
93178,6
183071,5
30308,1
284865,0
135531,6
131964,2
178382,2
234455,3
140857,4
160479,1
133582,4
105658,5
141333,0
270181,6
129430,1
131006,5
233022,4
125973,0
215848,3
200323,2
221573,6
90682,7
128,3
53244,3
14133,5
286637,2
215725,6
258235,4
241900,8
2448,1
197584,6
128843,8
245810,1
235893,5
50833,0
178786,7
253433,8
141850,6
216572,8
135967,3
135434,6
146120,7
201050,7
225680,8
263870,6
295235,4
63070,8
228957,0
261306,3
181957,1
273774,2
101985,6
161617,5
41202,4
244235,0
177453,1
46502,5
39468,2
225131,3
95063,8
271987,4
282565,0
117478,2
26034,4
190666,2
101162,0
130852,5
199045,1
190508,5
283730,1
178466,2
150877,7
295290,4
224124,4
48356,2
21917,8
223471,2
219040,6
28501,6
72299,1
4941,2
160298,1
2685,1
130735,5
125070,4
35345,6
123718,2
59106,4
111845,5
263333,4
134732,0
113892,4
33961,0
93645,6
129358,1
190654,2
234364,3
32892,7
45781,1
86309,1
75533,4
121027,8
156272,7
249056,3
97407,5
156813,4
295528,0
122328,5
273203,1
192563,4
49770,4
246126,1
229558,6
197680,6
104168,8
42049,0
221052,4
96635,1
139470,2
88976,2
85866,8
297102,2
118417,4
32973,7
96018,1
232354,2
219669,8
243378,2
154547,5
251528,7
150588,2
259964,5
285303,6
297081,2
143942,1
99305,7
14179,5
23701,5
175111,4
238414,8
98143,2
182045,1
196174,7
69926,6
158885,3
298325,8
52821,6
235152,1
296351,8
232223,2
58426,7
68003,4
268467,5
232525,7
48497,2
94273,3
87923,5
117562,2
95750,8
226446,1
35144,6
135321,6
294879,2
289913,0
213247,1
18713,0
147799,6
57678,2
163593,4
117865,2
20624,3
119166,0
156416,7
91977,0
152033,0
239597,5
23743,5
224378,0
117246,5
259352,8
99852,7
172280,1
207520,8
234106,6
144489,5
235242,1
142985,3
194664,1
228526,4
161022,5
224896,6
67823,4
185312,4
71919,1
188935,1
49535,7
209536,2
202764,3
202394,6
269939,0
133712,4
80607,2
99619,7
137394,1
35173,6
21452,8
13262,1
146861,4
113395,7
204617,2
92471,0
238130,3
204472,5
163381,4
66053,2
65622,5
265778,2
105955,5
21688,8
160270,1
151833,0
115636,3
246750,2
50821,0
17699,4
67693,4
25737,7
120425,3
108132,4
62825,8
269853,0
13563,5
40114,7
79962,5
13702,5
106275,2
46989,5
72653,1
124017,2
43197,3
162990,7
190909,2
243507,7
289423,7
68032,4
46139,1
20660,3
272959,8
31707,5
11208,8
20891,3
247885,0
1192,8
217808,7
220539,2
53847,8
186872,6
224480,0
73421,5
84723,3
181190,8
244759,6
264105,3
40944,4
280096,6
284151,2
298347,8
283384,8
49309,7
279752,0
184470,7
78665,8
46571,5
158549,6
266770,0
223494,2
267793,8
73021,5
169659,0
114608,0
186058,0
227755,2
108936,0
25476,7
188473,8
202939,3
39889,7
137682,1
29771,8
106349,2
240217,7
284165,2
23369,5
27809,0
262549,5
83044,0
283436,8
260601,4
1105,8
92187,0
230289,3
241798,3
16543,7
214886,4
197149,0
186924,6
204489,5
164776,0
109458,6
91713,4
277295,3
28724,6
70686,3
75463,4
38973,2
260323,7
37854,5
229760,6
84339,3
251577,4
289453,7
133864,4
180863,3
60880,6
46396,5
76605,0
17091,4
114508,0
236034,2
232008,2
226809,5
78013,3
119033,0
108921,0
32883,7
182076,1
282337,4
59433,4
30482,1
97779,5
33097,7
192960,0
202594,6
178516,2
150451,2
26017,7
199396,1
72501,1
218766,0
17220,4
213891,2
282314,4
138965,2
262148,1
246024,1
168226,2
228190,7
239495,5
205525,4
106839,7
18103,0
296639,1
193461,6
76330,0
151817,0
83346,0
131475,2
264358,8
277078,6
239926,2
2503,1
133948,0
19024,0
196213,7
36964,1
203398,8
81516,7
281887,7
154583,5
207622,8
12033,8
174329,7
70917,3
108307,0
112823,2
48472,2
35713,3
92156,0
214459,7
14807,2
146950,0
43547,3
76953,6
234368,3
87452,5
103801,8
141051,0
105195,5
121639,1
240443,4
271075,5
157382,0
158715,3
242569,1
242452,1
221565,0
204872,2
176574,3
222984,5
157069,4
244770,6
176685,3
77138,6
50733,0
224599,0
100302,4
163728,4
82153,4
227692,2
129171,1
75989,0
97161,5
67223,7
234643,8
122078,1
6869,4
56083,5
289919,0
198255,3
173328,2
127810,3
29064,3
153744,1
18697,0
77204,6
244194,4
227113,5
281794,2
102536,6
164143,0
180552,3
262517,5
271283,5
117839,2
190739,2
109800,3
138046,5
231521,5
277812,8
159320,8
272178,0
178958,7
121954,1
220453,2
15525,2
113789,4
257479,2
544,3
86647,1
194962,1
6876,4
225476,3
209027,5
6915,4
185389,4
238793,1
253893,1
41667,0
268807,2
161502,5
18722,0
8911,0
59848,0
23073,1
246043,1
188093,3
297761,0
18558,0
174113,7
254746,7
202425,6
231284,1
278212,1
28801,3
157440,0
261574,3
5979,7
236337,2
256958,1
196217,7
142934,3
89479,2
283599,1
261087,6
282510,0
33134,7
161344,5
208587,5
7354,4
179753,0
182739,5
229372,0
250256,5
32440,2
205820,0
24271,2
215401,0
167873,2
246176,5
260985,0
52530,6
69878,6
82308,4
34536,0
280554,3
264023,3
248746,3
258361,0
53573,3
297640,0
95292,8
291818,2
98208,2
294800,2
171304,8
241114,0
195347,5
57799,2
110029,3
22981,1
48023,2
23474,5
284637,4
173782,2
296270,8
23264,5
197196,0
26963,0
117043,5
90315,7
4868,2
58166,7
246398,5
194012,3
148103,3
290338,6
264492,8
206236,0
127628,3
47881,2
87912,5
181348,8
222250,8
23007,1
204421,5
290522,3
288128,8
108280,0
256600,8
58960,4
247690,4
101974,6
47663,2
56187,5
60612,0
119656,6
273028,8
295529,0
259156,3
281864,7
138052,5
67108,7
282720,6
214052,2
168881,7
141924,6
8259,0
211735,6
178820,7
23863,5
275835,5
130776,5
285244,6
14473,5
65097,5
259764,5
200967,7
287231,0
195300,5
107695,4
91763,4
97721,5
69471,6
253910,1
51192,0
83376,0
82851,0
105123,5
250707,2
243498,7
213828,5
237253,0
279108,7
153340,8
117100,5
174765,4
69790,6
79251,1
261603,3
40304,7
235714,5
165242,6
90502,7
88761,2
36957,1
124671,7
278680,5
172,3
100472,4
159679,8
152967,3
117852,2
244992,3
213032,1
118796,0
113084,7
120060,3
15079,2
77431,3
211647,6
154203,1
68229,4
172708,5
196440,7
274891,3
170426,6
275162,8
281746,2
177317,1
206482,6
271368,2
242752,5
191993,4
107990,4
257792,7
30542,1
89529,2
45672,1
6893,4
296140,3
135757,3
71390,8
38406,5
29146,3
236329,2
2918,1
267519,3
106670,2
36608,8
250018,1
57576,2
263905,6
79986,5
58231,7
62048,3
73326,5
58815,4
152046,0
204511,5
191689,7
69264,0
147415,0
286870,7
30546,1
245364,8
252471,6
177144,1
95016,8
266516,4
39700,7
78486,8
52974,3
104175,8
26191,4
267940,8
288166,8
85780,8
248062,0
166382,8
254386,2
233158,4
196269,7
78135,8
135859,3
182928,5
12014,8
52110,6
22345,1
285738,8
74810,7
42837,6
283288,8
46821,5
131998,2
130794,5
73053,5
201514,4
126782,6
141264,0
111669,5
25195,7
175089,4
142834,3
26732,4
93250,6
178984,7
22663,1
291356,1
63436,1
46570,5
79561,1
127752,3
67717,4
57515,2
162380,2
243337,2
65102,5
183807,2
245827,1
23393,5
140542,4
135618,3
103834,8
231172,1
180258,6
203539,1
249944,1
27075,0
61227,6
197567,6
155552,2
191155,2
291803,5
201688,0
205965,0
153152,8
129047,8
208887,5
91552,4
188987,1
83146,0
186472,0
47041,5
82934,0
132845,7
275408,1
260631,4
59440,4
283201,3
279220,7
188480,8
160827,5
219114,6
265051,1
243742,7
199663,5
63274,8
249533,8
269383,4
55354,1
140369,4
280564,8
164227,0
64940,5
64488,1
85482,8
208039,1
89863,7
245227,3
96391,1
156123,7
137119,1
171177,3
238707,8
282002,7
65704,2
175166,0
194185,3
128907,8
202552,6
116760,1
124113,2
91722,4
222697,1
237574,0
102320,6
74050,2
198103,3
206165,0
71238,8
21679,8
22398,1
142484,6
200196,2
263345,4
241645,3
68940,0
155778,2
237418,0
269792,0
38988,2
282829,6
241376,6
82318,4
6130,7
231350,1
149482,1
158739,3
95401,8
284826,4
215185,0
146793,4
119681,6
171793,8
73435,5
211550,6
198447,8
232089,2
210191,7
298781,5
166409,8
66659,7
243111,5
279231,7
162045,2
52648,6
182672,5
177308,1
249016,3
228969,0
195140,5
156269,7
87321,1
103582,8
137986,5
40081,7
120964,8
246062,1
279433,4
270203,6
220002,1
134885,6
76346,0
280449,3
139484,2
30,3
37890,5
73394,5
61941,3
22950,1
140737,4
295036,7
135854,3
219341,3
266448,4
282560,0
136377,8
186299,0
290486,3
201042,7
51593,0
279558,4
169851,0
19466,6
193264,0
215386,0
201532,4
12843,1
199317,1
243350,2
18518,0
265997,7
298242,3
276764,0
42565,6
276743,0
5300,2
34601,0
142554,3
38300,5
84113,3
258631,0
36577,8
260072,2
246247,5
96963,1
7992,0
226508,1
194600,1
115159,6
161978,2
108735,0
58463,7
218756,0
256367,8
229325,0
53368,3
54378,8
226469,1
277075,6
91245,4
4979,2
105184,5
196804,4
244407,0
47179,5
279886,0
128267,3
42012,0
212478,8
282841,6
118764,4
281158,1
284472,7
56772,5
299225,7
242571,1
173349,2
245454,8
42233,0
47375,5
246774,2
167363,5
46547,5
99415,7
164168,0
214522,7
162068,2
131272,2
174184,7
137766,1
31964,2
103998,8
34447,0
93316,6
109763,3
215857,3
75034,7
179600,4
143584,8
76773,6
287553,6
171326,8
174014,7
225340,3
245332,8
189467,1
35771,3
185206,4
17207,4
192682,0
77472,3
45755,1
244345,0
112697,2
110190,3
4148,5
211339,0
74467,7
190217,5
155777,2
105758,5
162390,2
26650,4
222085,3
185203,4
88857,2
183488,5
22198,1
166799,1
249727,1
152949,3
43946,3
284440,7
208085,1
225607,8
200500,2
47004,5
192160,4
220665,2
108861,0
31214,5
221649,6
183280,5
12152,1
283074,3
34472,0
10182,3
51125,0
100315,4
81236,7
277734,8
238824,1
279789,0
119964,3
111194,1
158183,6
33021,7
90957,4
210358,4
151403,4
11066,3
150710,7
64152,1
255847,6
1763,8
15827,7
226835,5
12944,1
16873,4
37354,1
146893,4
2913,1
207555,8
178799,7
204487,5
176817,8
140897,4
82928,0
55180,1
225274,3
143234,8
98758,2
238856,1
15643,2
177223,1
254041,5
152005,0
173141,5
144876,5
175500,0
250749,2
9224,6
114984,6
208460,1
200393,2
62350,3
150924,7
114068,4
270724,8
151859,0
255107,4
175303,0
291896,2
234835,8
142751,3
211236,0
185655,4
227121,5
62768,8
117190,5
229509,6
213616,5
237631,6
58310,7
87405,1
150887,7
114189,4
281052,1
60375,0
243960,4
38160,5
10256,3
184362,2
232758,7
297969,6
232516,7
114744,0
31600,5
299557,4
122150,1
105314,5
160223,1
290013,0
139367,2
148233,3
289505,4
10151,3
161708,5
224770,6
206552,6
56030,5
207540,8
156556,7
123492,2
3242,1
273679,2
42419,6
86945,1
41599,0
88747,2
62542,8
7143,4
93175,6
185688,4
190848,2
256002,3
179146,7
96072,1
216274,8
68494,0
48216,2
201162,4
191470,7
268996,2
109171,6
116740,1
120112,3
143083,3
35428,3
41123,4
71977,1
46658,5
143596,8
59573,4
114648,0
86275,1
246196,5
205593,4
118470,4
225836,8
161489,5
180612,3
204194,5
68507,0
191577,7
80118,5
162819,7
72396,1
222258,8
185132,7
193848,3
26718,4
221674,6
94693,3
129681,1
29180,3
293760,8
235204,1
259884,5
198706,8
77142,6
247746,4
262735,2
171758,8
230998,1
261758,8
244735,6
265877,2
200977,7
294944,7
214960,4
244032,4
52472,6
238533,8
9975,6
217184,5
152174,0
193247,0
298963,5
285218,6
18314,0
85100,3
182579,1
281289,5
228587,4
81450,7
121800,1
179082,7
70450,3
184478,7
272972,8
218947,6
272814,3
124950,7
17917,4
77120,6
3710,5
225615,8
181401,8
114353,0
127145,6
297225,7
248980,3
163199,7
4250,5
57258,2
180077,0
42261,0
130668,5
240923,0
169018,4
47564,2
161463,5
274856,3
187957,3
211506,6
152074,0
249210,8
183391,5
237591,0
107872,4
272155,0
180375,6
43901,3
119253,6
101326,0
208971,5
219681,8
262319,5
285682,8
49700,4
251259,7
181453,8
87985,5
184335,2
240257,7
133011,4
67971,4
54193,8
75326,4
31424,5
259244,8
68988,0
22512,1
98863,2
273235,1
265112,1
126598,0
48649,7
229429,0
215678,6
257856,7
129609,1
167666,5
37785,5
72074,1
146073,7
119370,6
99584,7
197998,3
178041,5
56323,5
240463,4
22060,1
219629,8
298716,5
66422,2
46616,5
266993,0
147192,0
229861,6
176737,3
96509,1
294575,5
121486,1
131982,2
682,3
150779,7
7634,4
60944,6
28690,6
52170,6
137249,1
157588,0
187704,3
182906,5
287632,3
163169,7
284278,2
279563,4
16561,7
128999,8
116783,1
229776,6
151909,0
41298,4
278728,2
159786,8
285258,6
208718,5
42482,6
147293,0
100867,4
35426,3
140613,4
96300,1
228278,7
241512,3
178470,2
165687,3
124246,7
18630,0
259695,5
16131,7
29584,8
261246,6
131643,2
4037,5
147361,0
248818,3
264940,1
233647,0
76601,0
5311,2
273920,7
65382,5
29468,8
157990,6
46468,5
255675,6
3695,5
287217,0
176818,8
206287,6
207737,8
55874,5
197511,6
189030,1
153295,8
238482,8
264483,8
73550,5
226205,1
84168,3
258543,0
70832,3
209170,5
250235,5
299282,7
72971,5
296284,8
177624,1
48300,2
198291,3
242036,8
207638,8
32865,7
119668,6
100823,4
257970,7
290995,8
198084,3
204942,7
259766,5
294251,1
28348,6
34953,6
80039,5
111823,5
282548,0
155869,2
172591,5
73172,5
38204,5
278157,1
125440,4
124548,7
16062,7
58263,7
222266,8
291914,2
38444,5
115062,6
103393,3
121183,8
91808,4
94161,3
296029,3
213428,5
24658,2
95656,8
31920,2
75107,4
296269,8
193853,3
157629,0
299967,6
110667,8
38847,2
225719,8
59081,4
204166,5
265604,2
226989,5
262223,1
21967,8
202262,6
68805,0
27233,0
71125,8
225021,3
61916,3
25414,7
139671,7
94094,3
246232,5
183793,2
140225,7
108888,0
58392,7
238097,3
280476,3
274320,0
65666,2
130307,5
190312,5
248184,0
277806,8
202741,3
227865,2
291740,5
116224,8
230437,3
230274,3
211921,6
215693,6
237975,6
201418,4
274263,4
195941,2
69210,0
8634,0
127588,3
1684,8
32200,2
90085,7
61566,3
264421,8
52623,6
124734,7
218534,0
244653,6
175456,0
66494,2
265275,5
34058,0
207349,8
49861,4
159536,8
271509,2
34433,0
125445,4
164677,0
170278,6
79095,1
114211,4
61693,3
172264,1
202595,6
50729,4
127239,6
95773,8
109765,3
298765,5
1166,8
111024,1
146956,0
9481,6
162019,2
37920,5
129118,1
266503,4
25706,7
161415,5
246066,1
141986,6
273165,1
211637,6
151122,7
171988,1
42784,6
216523,8
16245,7
33770,4
34035,0
153873,1
139836,7
212029,3
221511,0
46423,5
11885,8
160983,5
145134,2
85716,8
184852,7
127584,3
155239,2
20485,3
227529,2
250679,2
119950,3
239520,5
273422,5
78932,1
97664,5
44354,8
277469,3
87808,5
168371,2
258005,7
216537,8
10288,3
99019,2
86701,1
299788,0
90797,7
8215,0
199789,5
97427,5
226373,1
126916,6
296513,1
81644,7
60858,6
21537,8
1249,8
160991,5
287401,6
37038,1
228698,4
262189,1
115748,3
227899,7
174438,7
120829,8
232583,7
262869,2
101258,0
86816,1
209740,2
23288,5
144546,5
61903,3
225726,8
292944,0
149938,5
154024,1
27012,0
34495,0
97666,5
204403,5
217731,2
122757,5
143399,8
125996,0
279959,0
136136,3
175498,0
137828,1
102947,3
31760,2
157427,0
114735,0
