,cluster
72768,5
32776,7
291142,1
147913,6
229128,0
28953,3
105091,5
297992,6
213755,5
85696,8
285030,0
178014,5
150537,2
167390,5
240529,4
4734,2
262174,1
90955,4
40030,7
65066,5
99429,7
261962,1
19102,6
103492,3
8503,0
110693,8
68502,0
85146,8
241843,3
196482,4
185627,4
44991,1
95104,8
117327,5
24515,2
13761,5
102826,3
231152,1
203135,8
198908,1
226546,1
156332,7
138119,5
85951,8
30097,1
9061,6
19093,6
209712,2
56676,5
41854,0
201007,7
63666,1
160134,1
248775,3
155397,2
89240,2
72293,1
23197,5
81316,7
73725,2
16404,7
279641,4
181030,3
43765,3
154950,5
34604,0
7141,4
264408,8
62815,8
114240,4
165348,6
216725,1
40003,7
217385,5
212813,8
62446,3
169792,0
271807,7
252542,6
187511,6
270852,1
209672,2
68599,0
194146,3
99131,7
158555,6
20779,3
58890,4
127384,6
151897,0
85937,8
132345,7
214765,4
4422,5
177885,5
64677,5
9813,6
264638,8
3646,5
122424,5
116663,1
11669,8
226381,1
20766,3
51260,0
85750,8
142327,6
14575,5
63006,8
134265,0
188913,1
171973,1
22619,1
130181,5
293472,3
66916,7
201702,0
154264,1
163120,7
167639,5
298660,1
122534,5
128654,8
217632,2
109629,6
295158,4
275146,8
270723,8
151047,7
268771,2
26447,4
127147,6
128426,8
251854,4
37316,1
152740,3
31339,5
146545,4
162148,2
94939,3
78843,1
259455,1
241174,6
137087,1
181513,8
154802,5
290153,6
36645,8
245785,1
33722,4
19495,6
1934,8
178492,2
204103,5
136370,8
260177,2
197520,6
152619,3
109272,6
181831,1
138218,5
156840,4
38285,5
204533,5
210259,7
98854,2
239746,2
48551,2
59849,0
186587,0
236046,2
116413,1
116334,8
58293,7
165661,3
282576,0
212733,8
190013,5
234942,8
256743,1
174033,7
287476,6
78538,8
49462,7
138900,2
134185,0
282099,7
250893,2
239329,5
193969,3
8581,0
47710,2
151036,7
248581,6
80654,2
34703,6
138284,5
195417,5
22056,1
32288,2
183992,2
254,3
143154,8
49027,7
134854,6
240820,0
233417,0
177407,1
41960,0
151862,0
70224,6
238802,1
135540,6
26441,4
36009,3
273049,8
233994,6
74147,2
124385,7
46794,5
53725,3
102710,6
254038,5
212184,3
162712,7
270158,6
175483,0
258647,0
273563,5
140928,4
58927,4
181559,8
166623,1
78621,8
56950,2
29509,8
90913,4
277546,3
112846,2
219056,6
111323,1
54209,8
100107,4
238831,1
232634,7
234707,8
123764,2
176569,3
108761,0
60676,6
97137,5
214403,7
191300,7
7411,4
171283,8
287805,3
239357,5
255060,4
106714,2
90171,7
276405,7
57057,2
38179,5
120949,8
204563,2
47103,5
140974,4
271183,5
19291,6
103457,3
49,3
209980,7
145234,2
207974,1
244642,6
159731,8
248314,6
159705,8
2548,1
264781,1
153240,8
34949,6
83311,0
232747,7
95671,8
206793,3
153161,8
245473,8
264584,8
12703,1
176568,3
3462,5
83458,6
169856,0
152706,3
233271,4
113542,7
141523,0
9343,6
194475,8
178596,2
119742,3
131176,5
141737,0
41691,0
207411,8
98932,2
240917,0
206938,3
111152,1
260516,4
9712,6
94340,3
137102,1
175152,0
232693,7
224230,4
248522,6
71675,8
35449,3
2511,1
172702,5
6479,7
149970,5
120364,3
277706,8
236748,7
150080,5
163538,4
141618,0
58634,7
151430,4
275679,5
88923,2
48496,2
112054,5
224791,6
293206,6
224386,0
104841,1
243469,2
271866,4
152494,6
214094,2
107834,4
124510,7
39945,7
39368,2
293312,6
247185,7
100399,4
63761,1
127502,3
294756,2
102702,6
268112,1
168951,7
145671,2
152235,6
280954,1
75274,4
159334,8
260454,7
131839,2
286411,2
208227,1
168477,7
97152,5
67638,4
17314,4
23204,5
132563,7
269340,7
249405,8
271943,4
113146,7
157787,0
274288,4
35593,3
57495,2
235407,1
252406,0
74431,7
55685,1
196678,4
11490,8
282812,6
226936,5
41987,0
38750,5
59170,4
54717,1
250392,5
186385,0
89621,2
19593,6
3410,5
299376,7
147855,6
199890,5
219886,1
66285,2
15774,7
259599,1
47472,5
18793,0
250687,2
284571,7
215095,4
206385,6
3666,5
269996,6
8971,6
217601,2
73545,5
237809,6
132571,7
119636,6
210732,4
132437,7
2152,1
150469,2
78475,8
293415,3
202849,3
244072,4
136376,8
148190,3
169643,0
253185,3
113186,7
88264,5
106027,2
33431,4
248579,6
39006,2
166143,8
126575,0
109235,6
192846,0
29561,8
10563,3
187916,3
119483,6
75061,7
58736,7
220382,5
167521,5
49023,7
229100,0
239124,1
258802,6
70993,3
24452,2
221622,6
238418,8
129584,1
186560,0
262272,5
240619,4
192119,4
206171,0
6048,7
297115,2
139274,2
223826,7
201611,0
29489,8
75986,0
36776,1
74868,7
46670,5
270172,6
236982,4
195826,2
243623,7
96477,1
140094,7
190748,2
121076,8
278816,2
81503,7
188188,8
150489,2
96735,1
3294,1
87325,1
242837,5
31083,5
113629,7
779,3
111223,1
286774,7
122970,5
239842,2
253858,1
271657,7
207988,1
87775,5
158833,3
56041,5
106923,7
192316,4
88876,2
216766,1
24161,5
53599,3
91677,4
6226,7
282895,6
266769,0
229925,6
27067,0
211071,0
106544,2
150486,2
151065,7
44644,8
80754,2
160924,5
164649,0
26377,4
186755,0
20158,3
46141,1
26305,4
91869,4
148826,8
61346,6
233165,4
191920,4
12734,1
90688,7
102183,6
97094,5
51722,0
172234,1
191317,7
40532,7
152439,6
171760,8
30333,1
7917,0
179818,0
33992,0
138346,5
199457,1
278878,2
281877,7
63097,8
117726,2
49320,7
222075,3
176345,3
137866,5
185819,4
171385,8
57266,2
28486,6
124345,7
209543,2
106687,2
299213,2
121502,1
235195,1
167855,5
239312,5
178467,2
287806,3
59555,4
142746,3
185288,4
115129,6
92083,0
218953,6
276384,7
247724,4
122797,5
270271,3
45274,1
143620,8
93954,6
151701,0
88230,5
78383,8
101838,0
124308,7
145318,2
223984,7
186537,0
206163,0
32782,7
72641,1
276902,0
210440,4
105990,2
17856,4
259771,5
87779,5
119971,3
109374,6
65902,2
163797,4
263555,0
263880,6
278967,2
62097,3
81524,7
242300,1
80464,5
3617,5
148933,8
136068,3
120018,3
177858,5
91993,0
228148,7
3933,5
267409,3
115947,3
89663,2
210735,4
153383,8
154933,5
252469,6
119782,3
248013,0
267339,3
193052,0
90623,7
46789,5
264050,3
24152,5
147074,0
221487,0
38594,5
108545,0
74028,2
91704,4
103271,3
71307,8
138327,5
176880,8
208058,1
286374,5
238,3
288765,5
195583,5
87788,5
253502,8
72718,5
677,3
163408,4
289271,7
258120,4
169742,0
214488,7
192019,4
229737,6
64588,5
216774,1
274960,3
155246,2
81068,2
189347,1
30276,1
242363,1
37825,5
254570,2
68535,0
83350,0
206664,6
188316,8
79542,1
206979,3
74669,7
57518,2
243302,2
75981,0
207146,3
30023,8
247270,7
298822,5
5604,2
155455,2
294241,1
118349,7
118661,4
218248,4
1403,8
276205,7
120034,3
94604,3
278519,5
137832,1
58454,7
24101,5
17638,4
240000,2
153722,1
125125,4
61607,3
277579,3
253419,8
170746,3
230482,3
197443,6
125402,4
164709,0
15832,7
297642,0
75958,0
175352,0
202108,0
27860,0
60907,6
772,3
270572,8
274457,0
71216,8
233045,4
297369,7
132670,7
244973,3
227540,2
267116,6
